clothing_style,top_clothing,bottom_clothing,hand_accessories,head_accessories,shoes,neck_accessories,glasses
Streetwear,3/4 Sleeve T-Shirt,Slim Straight Jeans,Black Watch,None,Black Sneakers,None,Black Framed Sunglasses
Casual Wear,T-Shirt,Jeans,Rings,Baseball Caps,Boat Shoes,Necklaces,Round Glasses
Casual Elegant,Fit and flare shirt,Slim fit pants,Golden ring,"Suitable head accessories for the given clothing style for men include a tie, a suit jacket, and a dress shirt.",Sneakers,Necklace,"Suitable glasses for the given clothing style for men include a pair of black sunglasses, a pair of wayfarer sunglasses, and a pair of tortoise shell sunglasses."
Outdoor and Adventure Wear,Long Sleeve T-Shirt,Slim-Fit Chino Trousers,Sport Watch,Baseball Cap,Trainers,Rope Necklace,Square Frames Glasses
Indian Traditional Wear,Suitable Top Clothing Style: Kurta,Suitable Bottom Clothing Style: Pajama,Suitable Hand Accessories: Necklace,Suitable Head Accessories: Cap,Suitable Shoes Style: Sandals,Suitable Neck Accessories: Chain,Suitable Glasses Style: Aviator
Casual Wear,Full Sleeves T Shirt,Regular Fit Jeans,Bracelet,Casual Cap,Sneakers,Polka Dot Scarf,Geeky Glasses
Business Casual,White Dress Shirt,Grey Pants,Leather Belt,Red Bandana,Black Lace-up Shoes,Red Neck Scarf,Black glasses
Casual Elegant,Shirts,Trousers,Rings,Sunglasses,Flats,Casual Necklaces,Sunglasses
Casual Elegant,Casual,Chinos,Elegant shirt and tie,Elegant black and white striped tie,Black oxford shoes,Black shirt and tie,Black glasses with black frame
Casual Wear,Casual Pants,Casual Trousers,Watches,Men’s Casual Hats,Casual Shoes,Scarves,Sunglasses
Streetwear,T-shirt,Sweatpants,Bracelet watch,Baseball cap,Sneakers,Necklace,Round
Casual Elegant,Solid Color T-Shirt,Pants,Bracelets,Headband,Running Shoes,Necklace,Sunglasses
Business Casual,Collared Shirt,Khaki Trousers,Silver Watch,Sports Hat,Brown Shoes,Silver Necklace,Sunglasses
Business Casual,Chino,Chino,White Watch,Blazer,White Sneakers,Blue Tie,Black Glasses
Casual Elegant,Brown polo,Black Trousers,Black Watch,Black Beret,Black Boots,Black Necklace,Black Glasses
Sportswear,Polos,Chinos,Bracelet,Beanie,Sneakers,Scarf,Round
Casual Elegant,Cotton Shirt,Cotton Trousers,Wallet,Head Accessories: Cap,Rubber Shoes,Neck Accessories: Neck Tie,Glasses: Sunglasses
Business Casual,Solid Blue Shirt,Gray Chinos,No accessories needed,No accessories needed,Black Oxfords,No accessories needed,Square shaped glasses
Casual Elegant,Striped Long Sleeve,Bootcut Jeans,Black Watch,Black Fedora,Brown Boots,Black Scarf,Black Rectangle
Indian Traditional Wear,Round Neck,Cotton Cargo Pants,Casual Watch,White Cap,Cotton Shoes,Silver Thick Chain,Dark Tortoise Glasses
Formal Wear,Single-Breasted Suit with Buttoned-Down Collar,Single-Breasted Pants with Straight-Leg Fit,Gloves,Top Hat,Oxford Shoes,Tie,Oval-Framed Glasses
Sportswear,Zip Up Sweatshirt,Plain Regular Fit Jeans,Hockey Stick,Baseball Cap,Sneakers,Necklace,Sunglasses
Business Casual,Dress Pant,Dress Pant,Watches and Bracelets,Hats and Scarf,Casual Shoe,Ties,Standard Glasses
Casual Elegant,Solid Blue Button Down Shirt,Solid Black Pants,Solitaire Diamond Ring,Watch,Black Leather Oxford Shoes,Silver Chain,Black Square Frame Glasses
Streetwear,Short Sleeve T-Shirt,Dark Blue Ripped Jeans,Stainless Steel Link Chain Bracelet,Stainless Steel Pendant Necklace,White Sneakers,Stainless Steel Pendant Necklace,Black Square Framed Glasses
Casual Elegant,Casual Shirt,Slim fit jeans,Casual Bracelet,Baseball Cap,Casual Shoes,Trendy necklace,Wayfarer Sunglasses
Casual Elegant,Turtleneck Sweater,Wool Trousers,Wrist Watch,Cap,Smart Casual Shoes,Necklace,Square Frame Glasses
Vintage and Retro Inspired,Thin-striped yellow and blue cotton t-shirt,Navy blue denim jeans,Wrist Watch,Round and oval-shaped sunglasses,White leather shoes,Thin necklace,Oval and round-shaped sunglasses
Business Casual,Plain Shirt,Chinos,Simple Watch,Simple Cap,Oxford Shoes,Simple Necklace,Simple Glasses
Business Casual,polo t-shirt,knee-length shorts,Wristwatch,cotton cap,sport shoes,neckties,Round
Business Casual,A classic dress shirt,A dark colored pair of dress pants,A classic pair of dress shoes,A classic pair of dress shoes,Dress shoes,A classic pair of necktie,A classic pair of eyeglasses
Sportswear,Sleeveless polo shirt,Pleated pants or shorts,Bright leather belt,Baseball cap,Running shoes,Basic necklace,Round glasses with a dark green or blue frame
Business Casual,Button up,Trousers,None,None,Loafers,None,Formal
Vintage and Retro Inspired,1950s-inspired v-neck cardigan,1950s-inspired white trousers,"1950s-inspired brown leather belt, 1950s-inspired brown leather watch, 1950s-inspired brown leather bracelet",1950s-inspired brown fedora hat,1950s-inspired brown leather loafers,1950s-inspired brown leather choker,1950s-inspired brown round glasses
Casual Elegant,Trendy Button-Up Shirt,Fit Jeans,Casual Watch,Simple Cap,Sneakers,Simple Necklace,Simple Glasses
Preppy Style,Solid color polo,Slim fit chinos,Wrist watch,Fedora Hat,Solid color casual shoes,Tie,Semi-rimless glasses
Streetwear,Relaxed streetwear shirt,Relaxed streetwear pants,A pair of bracelets,A cap,A pair of white sneakers,A pendant necklace and a chain,Aviator glasses
Casual Elegant,Long Sleeve T-Shirt,Cargo Jeans,Sports Watch,Baseball Cap,Running Shoes,Necklace - Silver,Aviator Glasses
Business Casual,Oxford Shirt,Pants (Chinos),No Accessories,No Accessories,Derby Shoes,No Accessories,Semi-Rimless Glasses
Sportswear,Short-sleeved t-shirt,Fashionable jeans,Casual watch & fashionable bracelet,Casual cap,White Converse,Classic necklace,Black casual glasses
Business Casual,Solid Color Shirt,Solid Color Pants,"Solid Color Tie, Solid Color Pocket Square, Solid Color Pocket Square, Solid Color Cufflinks","Solid Color Tie Clip, Matching Color Cap, Solid Color Pocket Square",Brown Business Casual Lace-Up Shoes,Solid Color Bow Tie,Golden Frame Glasses
Casual Elegant,Long Sleeve Casual Shirt,Casual Jeans,Leather Belt,Beanie Hat,Casual Shoes,Solid Necklace,Aviator
Streetwear,Pullover Hoodie,Sweatpants,Beanie,Trucker Hat,Street sneakers,None,Round Sunglasses
Formal Wear,Classic Fitted,Slim Fit,A dress watch,A Fedora Hat,Black Oxfords,A Diamond Tie Pin,A Pair of Aviators
Casual Elegant,Long Sleeve Top,Cargo Pants,"Wrist Watch, Gloves",Cap,Sneakers,Neck Tie,Sunglasses
Vintage and Retro Inspired,Collarless Shirt,Fitted Jeans,Leather Gloves,Fedora Hat,Running Shoes,Deconstructed Collar Button Down Shirt,Cycling Glasses
Vintage and Retro Inspired,Plaid Shirt,Denim Shorts,Leather Bracelets,Oversized Sunglasses,Canvas and Leather Sneakers,Leather Necklaces,Aviator Sunglasses
Streetwear,Sweatshirt,Sweatpants,Hoodie,Baker Boy Cap,Sneakers,Chain,Aviator
Casual Wear,T-shirt,Jeans,Wristwatch,Beanie,Sneakers,Basic Necklace,Sunglasses
Sportswear,Crew Neck T-Shirt,Cargo Pants,No Accessories,Baseball Cap,Sneakers,No Accessories,Red Sunglasses
Sportswear,Sleeveless t-shirt,Chino pants,Ring bracelet,Baseball cap,Sneakers,Necklace,Brown
Casual Elegant,"A casual, elegant shirt with a subtle pattern or texture","Casual, elegant pants with a tailored fit","A casual, elegant watch and cufflinks","A casual, elegant fedora or a boatman hat","Casual, elegant loafers or oxfords","A casual, elegant bow tie or a necktie with a subtle pattern","Simple, elegant frames in a neutral color"
Streetwear,Gray T-Shirt,Black Jeans,Black Avier Sunglasses,Black New Era Cap,Black Sneakers,Black Chain Necklace,Black Aviator Sunglasses
Indian Traditional Wear,Vest with Long Sleeves,Kurta with Long Sleeves,Hand Accessories,Head Accessories,Classic Shoes,Neck Accessories,Readers
Indian Traditional Wear,Kurta,Pajama,Sling Bag,Bandana,Formal Shoes,Necklace,Geeky Glasses
Sportswear,Men Slim-fit T-Shirt,Men Slim-fit Jeans,Men Fashion Watch,Men Casual Hat,Men Fashion Sneakers,Men Casual Necklace,Men Round Glasses
Casual Elegant,Collared T-shirt,Acid Wash Jeans,Hand watch,Classic Cap,High top Sneakers,Sports Band,Black Rectangle Glasses
Casual Elegant,Full Sleeve Shirt,Jeans,Bracelet,Cap,Black Men's Casual Shoes,Men's Necklace,Sunglasses
Business Casual,White button-down shirt with a collar and long sleeves,Blue jeans with a straight fit,Wristwatch,Solid black tie,Black leather shoes,Black solid tie,Black glasses
Indian Traditional Wear,Short Kurta,Dhoti,Silver Ring,Turban,Jootis,Necklace,Horn-rimmed Glasses
Streetwear,T-Shirt,Trousers,Wrist Watch,Beanie,Sneakers,Necklace,Sunglasses
Casual Wear,Hoodie,Jeans,Beanie or Cap,None,Sneakers or Trainers,None,Oversize square glasses
Outdoor and Adventure Wear,Outdoor and Adventure Wear,Hiking pants,Tactical gloves and outdoor gloves,Tactical caps,Hiking shoes,Tactical neck gaiters,Sunglasses
Sportswear,Slim Fit,Chino Pants,Classic Watch,Baseball Cap,Sneakers,T-shirt,Round
Business Casual,Button-up,Chinos,Wrist Watch,Woolen Fedora,Oxford Shoes,Tie,Horn-Rimmed Glasses
Casual Elegant,Shirts,Trousers,"Cufflinks, Bracelets, Watches","Hats, Caps, Fedora, Top Hat, Beanie, Beret","Oxfords, Monk Straps","Ties, Bow Tie","Round Glasses, Aviator Glasses, Oversize Glasses, Sunglasses"
Vintage and Retro Inspired,V-Neck,Chinos,Watches and Bracelets,Beanie and Scarves,Wedge Boots,Scarves,Round Glasses
Casual Elegant,Solid Shirt,Dark Slim Jeans,Analog Watch,Pocket Square,Dress Shoes,Neck Tie,Classical Sunglasses
Indian Traditional Wear,Collar : Stand Collar,Pyjama,Bracelet,Cap,Sandals,Scarf,Sunglass
Casual Wear,Slim-fit cotton T-shirt,Slim-fit jeans,Hand watch,Cap,Sports shoes,Chain,Black round glasses
Casual Elegant,Solid colour polo shirt,Solid colour jeans,Wrist Watch,Cap,Canvas Shoes,None,Aviator
Casual Elegant,"Solid White, Straight Fit, Skeleton Shirt","Straight Fit, Black",Black Watch and Brown Watch,"Flat Cap, Solid Black","White, Leather, Chelsea Boots",Casual Elegant Neckerchief,Wayfarer
Casual Wear,Plain Short Sleeve T-Shirt,Dark Wash Straight Fit Jeans,Silver Watch,None,Black Leather Sneakers,None,None
Indian Traditional Wear,Fitted Kurta,Fitted Pajama,Wooden Bangles,Men's Topi,Jootis,Wooden Beads Necklace,Black Photos
Sportswear,Round neck T-shirt,Cargo pants,Plain watch,Baseball cap,Lace up athletic shoes,Plain necklace,Aviator
Formal Wear,Long Sleeve Shirt,Formal Pants,Black Bow Tie,Black Fedora Hat,Black Oxford Shoes,Black Bow Tie,Black Rectangle Glasses
Casual Elegant,Shirt,Pants,Watch,Hat,Oxfords,Necklace,Plastic
Vintage and Retro Inspired,Classic Fit Shirt,Classic Flat Front Pants,Classic Leather Belt,Hat,Lace-Up Boots,Classic Leather Bow Tie,Metal Frame Glasses
Preppy Style,Collared Shirt,Slim Fit Pants,Leather Gloves,Baseball Cap,Sneakers,Scarf,Sunglasses
Preppy Style,Button-Down Collar Shirt,Chinos,Wristwatch,Baseball Cap,Oxford Shoes,Tie,Round Glasses
Casual Wear,Solid Single Breasted Blazer,Classic fit straight leg trousers,Wrist Watch,Pocket Square,Loafers,Silk Tie,Black Aviator
Casual Elegant,Casual T-shirt with short sleeves,Casual design trousers with belt loops,"Wrist watch, bracelet and ring",Baseball cap,Low-top leather sneakers,Casual necklace,Casual sunglasses
Business Casual,A button-down shirt with a collar and short sleeves,A pair of khaki chinos,A wristwatch and a belt,A tie or a necktie,Oxfords,A bowtie or a necktie,A pair of glasses with a thin frame and a clear lens
Casual Elegant,Slim fit casual,Slim fit jeans,Ring,Cap,Classic,Scarf,Round
Casual Elegant,Collarless Button-down Shirt,Tapered Jeans,Bracelet,Wide-brimmed Hat,Loafers,Turtleneck Sweater,Matt Black Round Glasses
Casual Elegant,Tailored formal shirt,Chemical wash chino pants,Leather watch with brown strap,Leather belt,Leather casual boots,Cotton scarf,Black Wayfarer glasses
Business Casual,Slim-fit or tapered pants,Fitted,Leather bracelet,Beanie,Sneakers,Turtleneck,Aviators
Vintage and Retro Inspired,Slim-Fit Graphic T-Shirt,Slim Fit Jeans,Utilitarian Watch,Baseball Cap,Sneakers,Rope Necklace,Black Sunglasses
Streetwear,Sweatshirts and Hoodies,Sweatpants,Sneakers,Beanies and caps,Sneakers,Sneakers,Sunglasses
Streetwear,"T-Shirt, Relaxed Fit, Short Sleeve",Straight Leg Jeans,Gold Chain,Beanies,Sneakers,Gold Chains,Black glasses
Casual Wear,Solid Tee,Black Denim Jeans,Silver Watch,White Sunglasses,White Sneakers,Gold Chain,Black Aviators
Casual Elegant,Button Down Shirt,Dark Blue Jeans,Wristwatch,Beanie,Black Casual Shoes,None,Black Framed Glasses
Casual Wear,Button Up Long Sleeve Shirt,Basic Jeans,Wrist Watch,Flat Cap,Loafers,Basic Necklace,Wayfarer Sunglasses
Sportswear,Casual Fit Shirt,Casual Fit Jeans,Sport Wrist Watch,Casual Cap,Casual Shoes,Casual Necklace,Sunglasses
Business Casual,Full-Sleeved Polo Shirt,Trousers,Penny Watch,Headband,Casual Loafers,Necklace,Round Metal Frames
Streetwear,T-shirt,Jeans,Bracelets,Hats,Sneakers,Necklaces,Sunglasses
Streetwear,T-shirt with a graphic printed on the front,Skinny Jeans,Sunglasses,Beanie,White sneakers,None,Round
Casual Wear,Regular Fit T-Shirt,Slim Fit Tapered Jeans,Black Sports Watch,Baseball Cap,Low Top Sneakers,Denim Scarf,Round Framed Glasses
Sportswear,T-Shirt,Jeans,Leather gloves,Hat,Sneakers,Necklace,Sports glasses
Business Casual,Oxford Shirt,Chinos,Woven Belt,Regular Cap,Sneakers,Tie,Round Frames
Business Casual,Button-up,Pants,Belt,Tie,Oxford Shoes,Bow Tie,Brown Glasses
Streetwear,Men's Streetwear Tops,Men's Streetwear Bottoms,Gold Chain Bracelet,Baseball Cap,Men's Streetwear Sneakers,Gold Chain Necklace,Streetwear Glasses
Business Casual,Shirt,Pants,Wristwatch,None,Oxfords,None,Semi-rimless
Business Casual,Shirt With Tie,Trousers,Wrist Watch,Hat,Leather Boots,Neck Tie,Aviator
Business Casual,Suit,Slacks,Leather Belt and Shoes,Dress Shoes,Leather Dress Shoes,Silk Tie,Black Frame Glasses
Business Casual,Long Sleeve Shirt,Gray Suit,Metal Watch,Blue Tie,Shiny Brown Dress Shoes,No Neck Piece,Black Rectangle
Casual Wear,A square neck polo shirt,A pair of jeans,A wrist watch,A cap,A pair of sneakers,A necklace,Aviators
Streetwear,Long Sleeve T-Shirt,Jeans,none,none,Sneakers,none,none
Casual Elegant,Casual Shirts,Jeans and Chinos,Hats and Caps,Hats and Caps,Sneakers and Loafers,Men's Necklaces,Sunglasses and Glasses
Business Casual,Oversized dress shirt,Oversized suit pant,Wristwatch,Brooklyn Black Suit Hat,Black Oxfords,Tie,Black Frames
Casual Wear,Polo Shirt,Polo Jeans,Watches,Hats,Sneakers,Necklaces,Sunglasses
Casual Wear,Relaxed Fit,Slim Fit,Watch,Brown Cap,Brown Boots,Silver Necklace,Brown Round Glasses
Business Casual,Long-Sleeved Button-Down Shirt,Tailored Trousers,Black Dress Shoes,Black Dress Shoes,Black Dress Shoes,Black Dress Shoes,Black Dress Shoes
Casual Elegant,Slim fit,Slim fit,Cufflinks,Headband,Sneakers,Necklace,Sunglasses
Casual Wear,T-Shirt,Jeans,Belt,Cap,Trainers,Scarf,Round Sunglasses
Business Casual,Shirt,Pants,Bracelet,Cap,Boots,Necklace,Oversized Glasses
Business Casual,Solid Color Button-Down Shirt,Solid Color Suit Pants,Solid Color Leather Belt,Solid Color Leather Tie,Solid Color Leather Oxford Shoes,Solid Color Leather Tie,Solid Color Plastic Frames
Casual Wear,Solid Blue T Shirt,Blue Denim Jeans,Blue and White Patterned Band,Solid Cap,Blue Sneakers,Solid Blue Necklace,Solid Blue Glasses
Casual Wear,Fitted,Hipster,Gloves,Beanie,Casual shoes,Necklace,Round
Business Casual,Button Down,Chino,"Belt, Watch",Hat,Boots,Tie,Sunglasses
Casual Elegant,V-Neck T-Shirt,Washed Skinny Jeans,Leather Bracelet,Casual Cap,Sneakers,Necklace,Sunglasses
Indian Traditional Wear,Kurta,Churidar,Bracelet,Cotton Turban,Mojaris,Beaded Necklace,Aviator Sunglasses
Casual Elegant,Casual,Casual,Wrist Watch,None,Smart Shoes,Necklace,Classic Shape
Business Casual,Polka Dots,Chinos,Wallet,Casual Cap,White Sneakers,Skinny Scarf,Geeky
Business Casual,Plain T-Shirt,Smart Jeans,Casual Belt,Casual Cap,White Sneakers,No Neck Accessories,Round Glasses
Sportswear,Sportswear,Shorts,Casual watch,Baseball cap,Sneakers,Sportswear necklace,Glasses
Casual Elegant,T-Shirt,Jeans,Bracelet,Cap,Sneakers,Scarf,Regular
Vintage and Retro Inspired,Long Sleeve,Long Pants,Skinny Belt,Bow Tie,Boots,Necktie,Round Glasses
Casual Elegant,Classic Short Sleeve Dress Shirt,Solid Navy Chinos,Tie Bar,Black Suede Belt,Brown Leather Slip-Ons,Black Polished Neck Tie,Tortoise Shell Frames
Business Casual,Neatly Fitted,Slim Fit Trousers,Wrist Watch,Lapel Pin,Leather Loafers,Silk Tie,Formal Glasses
Streetwear,Hoodie,Cargo pants,Fingerless gloves,Baseball cap,Sneakers,Basic necklace,Sunglasses
Casual Wear,Casual Shirts with Pockets and Buttons,Fitted Jeans,Wooden or Leather Wrist Wristwatches,Casual Fedora Hats,Casual Shoes,Casual Necklaces,Casual Designer Glasses
Sportswear,Sneakers,Trackpants,Stainless steel bracelet,Baseball cap,Sneakers,Scarf,Round glasses
Sportswear,White Solid-Color Polo with embroidered logo,Black Solid-Color Trousers,White Watch with Black Strap,White Solid-Color Baseball Cap,Black Solid-Color Sneakers,Black Solid-Color Tie,Black Solid-Color Glasses
Streetwear,Hooded Hip Hop Hoodie,Black Adidas 3-Stripe Joggers,Black Wristwatch,Black Beanie,Black Woven-Leather High-Top Sneakers,None,Black Round Glasses
Preppy Style,Button-down collar shirt,Cargo Pants,Rings,Baseball Cap,Sneakers,Necklace,Sunglasses
Streetwear,T-Shirt,Skinny Jeans,Military Timepiece,Beanie,Converse,None,Round
Streetwear,Short-Sleeve Tee,Jeans,Bracelet,Beanie,Sneakers,Necklace,Sunglasses
Business Casual,Shirt,Dress pants,Watch,Cap,Oxford,Necktie,Sunglasses
Casual Wear,Jacket,Jeans,Gloves,Hat,Casual Shoes,Sweater,Sunglasses
Business Casual,Solid coloured t-shirt,Solid coloured chinos,Pocket square,None,Brown leather shoes,None,Rounded frames
Outdoor and Adventure Wear,Sleeveless shirt,Cargo Pants,Outdoor and Adventure Wear Watch,Baseball Cap,Sporty Shoes,Necklace,Sporty Sunglasses
Casual Elegant,Crew Neck T-Shirt,Straight Fit Jeans,Watch,Glasses,Sports Shoes,Necklace,Square Frames
Sportswear,Round Neck T-Shirt,Slim Fit Chino Trousers,Watch,Regular Cap,Sneakers,Necklace,Round Glasses
Sportswear,T-Shirt,Jeans,Sneakers,Baseball cap,Sneakers,Necklace,Sunglasses
Formal Wear,Suit and Tie,Trousers,Rings,Hat,Loafers,Tie,Square Frames
Streetwear,T-shirt with a large graphic print,Skinny Jeans,"Bracelet and a ""Skinny"" watch",Baseball Cap,Sneakers,Necklace,Aviator glasses
Sportswear,Long Sleeve Shirt,Jeans,Wrist Watch,Baseball Cap,Trainers,Scarf,Round Glasses
Sportswear,Polo Shirt,Shorts,Bandana,Baseball Cap,Trainers,Scarf,Sunglasses
Casual Wear,Regular Neck T-Shirt,White Straight Leg Jeans,Sunglasses,Baseball Cap,White Sneakers,None,Black Round Sunglasses
Casual Wear,Regular Fit,Regular Fit,Wristwatch,Baseball Cap,Casual Shoes,Necklace,Round
Business Casual,Solid shirt,Slim fit trousers,Cufflinks,Tie,Loafers,Tie,Wallet
Casual Elegant,Long-sleeved Shirt,Solid-color pants,Leather Gloves,Winter Hat,Sneakers,Turtleneck,Semi-rimless Glasses
Business Casual,Button Down Shirt,Slacks,Dress Watch,Tie,Loafers,Necktie,Oxford
Business Casual,Solid Polo,Solid Chinos,Leather Bracelet,Leather Cap,Suede Oxfords,Black Turtleneck,Brown Aviators
Casual Elegant,Solid polo shirt with a round collar and a buttoned front,Dark-wash jeans with a straight leg,Brown leather belt with a plain buckle,Brown leather baseball cap,Rough-out leather low-top sneakers,White t-shirt with no neck accessories for men,Chestnut brown horn-rimmed glasses
Business Casual,Button down,Pants,No Hand Accessories,No Head Accessories,Black dress shoes,No Neck Accessories,No Glasses
Casual Wear,Buttoned Shirt,Straight Fit Jeans,Watch,Cap,Loafers,Scarf,Wayfarer glasses
Sportswear,"Slim-fit, short-sleeve tee","Olive, relaxed-fit, tapered cargo pants",Rubber bracelets,None,Sneakers,None,Round
Casual Wear,Long sleeve shirt,Chino Pants,Bracelet,Cap,Sneakers,Necklace,Aviator Sunglasses
Casual Elegant,Pleated Slim Fit,Slim Fit Straight,Slim Fit Straight,Abstract Wide Brim Hat,Slim Fit Straight,Chain Collar,Classic Aviator
Casual Wear,Round Neck,Chinos - Straight Cut,Watch,Cap,Oxford Shoes,Chain,Sunglasses
Business Casual,Solid Color Shirt,Solid Color Jeans,Regular Watch,Cap,Black Sneakers,Tie,Classic Glasses
Business Casual,Button-Down Shirt,Tailored Pants,No,No,Oxford Shoes,No,Business Glasses
Vintage and Retro Inspired,Very loose fit shirt with an open collar,Very loose fit pants with a cuffed bottom,Wallet chain,Dog-tag necklace,Chunky and rugged boots with a square toe,Chunky tie pin,Square frame thick glasses
Preppy Style,Slim-fit tee,Slim-fit jeans,Brown suede belt,Leather baseball cap,Suede brown boots,Suede brown scarf,Black aviator glasses
Sportswear,Hoodie,Sweatpants,Beanie,Beanie,Sneakers,None,Aviators
Casual Elegant,Shirt,Trousers,Gloves,Beanie,Loafers,Scarf,Aviator
Indian Traditional Wear,Kurta,Pajama,Golden Bracelet,Pallu,Formal Shoes,Thin Pendant,Semi-rimless Glasses
Sportswear,Sleeveless T-Shirt,Sport Shorts,Wristband,Cap,Sport Shoes,Necklace,Sunglasses
Sportswear,T-Shirt,Slacks,Bracelets,Hats (Summer),Sneakers,Necklaces,Sunglasses
Sportswear,Sweatshirt,Track pants,Printed Sweatshirt,Navy Cap,Sneakers,Printed Sweatshirt,Round Glasses
Business Casual,Shirts,Chinos,Cufflinks,Casual Hats,Oxfords,Ties,Wayfarer
Outdoor and Adventure Wear,Collared T-Shirt,Joggers,Hiking Gloves,Snood,Sneakers,Collared Shirt,Sport Sunglasses
Outdoor and Adventure Wear,Hoodie,Jeans,Bracelet,Baseball Cap,Sneakers,Necklace,Sunglasses
Sportswear,Nike Short Sleeve T-Shirt,Nike Men's Running Pants,Nike Running Socks,Nike Running Hat,Nike Men's Running Shoes,Nike Running Necklace,Nike Running Glasses
Streetwear,Fitted T-Shirt,Slim Fit Jeans,Ring,Hat,Trainer,Necklace,Safety Glasses
Vintage and Retro Inspired,Short Sleeve Henley Shirt,Slim Tapered Straight Jeans,Colorful Beaded Bracelet,Cowboy Hat,Black Suede Lace-Up Oxfords,Beaded Choker,Tortoise Shell Round Metal Frames
Streetwear,T-Shirt,Loose Pants,Bracelets,"Chains, Beanies, Hats",Sneakers,Chokers,Round Glasses
Casual Wear,Solid Henley Shirt,Regular Fit Jeans,Bracelets,None,Regular Sneakers (low),None,Wayfarer Sunglasses
Business Casual,Shirt,Trousers,Belt,Cap,Oxfords,No,Tortoise Shell
Business Casual,Solid Colour Dress Shirt - Solid Dress Shirts,Solid Colour Dress Pant - Solid Dress Pants,Dress Watch - Black Dress Watch,Semi-Formal Hat - Semi-Formal Hat,Semi-Formal Shoes - Brown Semi-Formal Shoes,Neck Tie - Blue Dress Tie,Semi-Formal Glasses - Semi-Formal Glasses
Casual Wear,Casual Shirts,Jeans,Wristband,Cap,Sneakers,Scarf,Sunglasses
Casual Wear,Crewneck Short-Sleeve T-Shirt,Straight-Fit Black Jeans,Black Watch,Black Baseball Cap,White Sneakers,Black Scarf,Black Rectangular Frames
Casual Wear,Basic Shirts,Basic Trousers,No Accessories,No accessories,Basic Casual Shoes,No Accessories,No Accessories
