body_type,additional_features,dress_type,sleeve_type,necklace,bracelet,earrings,dress_design,accessory_design
Rectangle,optional,party wear,short length,rounded,stacks,jhumka,Two-piece dress with crop top and straight skirt,Rounded necklace with stacks bracelet and jhumka earrings
Pear-shaped,busted,party wear,short length,v shape,stacks,drop earrings,sweetheart neckline,Golden
Hourglass,busted,kurti,full length,choker,stacks,drop earrings,Side slit,"Pearls necklace, cuff bracelet, and hoop earrings"
Rectangle,busted,t shirt,full length,rounded,stacks,drop earrings,"long sleeves, v neckline, tunic, belt, three quarter sleeves, short sleeves, bateau neckline, empire waist, high low hem, casual","Golden necklace, bracelet, and earrings"
Inverted triangle,busted,crop top,one shouldered,v shape,bangles,jhumka,embellished crop top,jewelry
Inverted triangle,busted,kurti,one shouldered,v shape,stacks,studs,casual,simple
Hourglass,busted,party wear,full length,rounded,stacks,drop earrings,spaghetti straps,simple
Rectangle,broad shoulders,party wear,full length,choker,stacks,drop earrings,Fitted dress with high neckline and long sleeves,"Thin, long necklace with diamond pendant, stacked bracelets with different patterns and materials, and drop earrings"
Pear-shaped,optional,party wear,full length,rounded,stacks,jhumka,Long Front Slit,Kundan choker necklace and jhumka earrings with a silver bracelet
Inverted triangle,optional,party wear,sleeveless,rounded,stacks,drop earrings,"Straight neckline, one shoulder, round neckline, V-Neckline","Necklace: diamond, bracelet: bangles, earrings: drop earrings"
Rectangle,optional,party wear,puffy shoulder,rounded,bangles,studs,Long sleeves with a V-neckline,Elegant
Hourglass,busted,party wear,mid length,rounded,stacks,drop earrings,"V neckline, short, high neckline, high neckline, boat neckline, scoop neckline, sweetheart neckline","drop earrings, stacks, studs"
Hourglass,optional,party wear,short length,rounded,stacks,jhumka,Kaftan dress,Statement earrings with chunky necklace and stacked bracelets
Inverted triangle,optional,party wear,puffy shoulder,rounded,stacks,jhumka,a sleeveless dress in a solid color with a v-neckline and a flared skirt,matching earrings and necklace with bracelets
Inverted triangle,busted,party wear,puffy shoulder,rounded,stacks,jhumka,bunched up,big shiny stone
Apple-shaped,optional,party wear,full length,choker,stacks,studs,"This dress is suitable for the given body type, dress type, and sleeve type","This accessory design is suitable for the given necklace, bracelet, and earrings"
Rectangle,broad shoulders,kurti,puffy shoulder,rounded,bangles,drop earrings,"It is a long sleeve, knee length, plain dress with puffy shoulder",Modern
Pear-shaped,optional,t shirt,short length,v shape,bangles,drop earrings,Belted T-shirt dress,Necklace-Bracelet-Earrings
Apple-shaped,busted,party wear,full length,rounded,stacks,studs,"V-Neck, full length","Earrings: studs, Bracelet: stacks, Necklace: rounded"
Rectangle,optional,party wear,one shouldered,rounded,stacks,jhumka,Straight dress design,Necklace and earrings made from metal and bracelet made from leather
Inverted triangle,busted,party wear,full length,rounded,charms,drop earrings,yoke,Bright
Rectangle,optional,kurti,short length,rounded,stacks,drop earrings,Straight Fit,Delicate
Rectangle,busted,t shirt,short length,v shape,stacks,drop earrings,"The dress design is suitable for a Rectangle body type, t shirt dress, and short length sleeve type.","The accessory design is suitable for the given v shape necklace, stacks bracelet, and drop earrings."
Hourglass,busted,party wear,sleeveless,v shape,bangles,studs,Short dress,Golden and pearl jewellary
Apple-shaped,optional,party wear,full length,choker,charms,jhumka,Straight dress design,Necklace and earring sets
Pear-shaped,optional,party wear,full length,v shape,stacks,studs,High neckline with asymmetrical hemline,Clutch with a small chain
Pear-shaped,optional,party wear,puffy shoulder,v shape,stacks,drop earrings,A-line,"Statement necklace, simple bracelet, stud earrings"
Rectangle,busted,kurti,short length,v shape,charms,studs,simple design,simple design with lots of stones
Pear-shaped,broad shoulders,kurti,short length,rounded,stacks,drop earrings,Strap dress design,"Choker necklace, stacked/bangle bracelet, drop earrings"
Pear-shaped,optional,kurti,short length,rounded,stacks,jhumka,The Dress is suited for all types of dresses and sleeves,"Necklace: short necklace, bracelet: chain bracelet, earrings: dangler"
Apple-shaped,busted,party wear,one shouldered,v shape,stacks,studs,one shoulder design,"bracelet: tennis, earrings: studs, necklace: choker"
Pear-shaped,broad shoulders,party wear,sleeveless,rounded,stacks,studs,Pear-shaped body types should wear clothes that highlight their curves while also creating the illusion of balance. Crop tops or long tunics with straight or A-line skirts are suitable.,"Accessory design suitable for the given necklace, bracelet, and earrings: These accessories will complement and enhance the outfit without overwhelming it."
Apple-shaped,broad shoulders,party wear,short length,rounded,stacks,studs,sequin dress,classic
Hourglass,busted,kurti,mid length,rounded,stacks,drop earrings,"The dress design suitable for the given body type, dress type, and sleeve type is a flared skirt with a mid-length sleeve and a v-neckline. The dress design is suitable for a Hourglass body type and a kurti dress type with a mid-length sleeve and a v-","The accessory design suitable for the given necklace, bracelet, and earrings is a triangular stud earrings with a silver necklace and a stacks bracelet. The accessory design is suitable for a Hourglass body type and a kurti dress type with a mid-length sleeve and a"
Pear-shaped,busted,party wear,one shouldered,choker,stacks,drop earrings,Fitted,"Golden necklace, golden bracelets and golden earrings with drop earrings"
Hourglass,busted,kurti,short length,v shape,stacks,drop earrings,V-Neck Kurti,Boho
Apple-shaped,busted,t shirt,puffy shoulder,rounded,bangles,drop earrings,"The dress design suitable for the given body type, dress type, and sleeve type is a body-hugging fit with a V-neckline and a puffy shoulder sleeve. This style accentuates the curves of the apple-shaped body, creating a balanced and flattering silhouette.","The accessory design suitable for the given necklace, bracelet, and earrings is a combination of bold and delicate pieces. The rounded necklace adds a touch of elegance, while the bangles and drop earrings add a playful and funky edge. This combination creates a balanced and visually appealing look"
Hourglass,optional,t shirt,full length,v shape,stacks,studs,It has a crew neck with a rounded neckline and a full length sleeve.,It has a stacks bracelet with a stud earring and a v shape necklace.
Apple-shaped,busted,t shirt,mid length,choker,stacks,studs,"fitted, flirty",simple
Inverted triangle,optional,party wear,one shouldered,choker,stacks,drop earrings,Off the shoulder dress design,"Ear cuffs, stone necklaces, chokers, bangles, and bangles"
Apple-shaped,broad shoulders,kurti,short length,v shape,stacks,drop earrings,Loose fitting at the waist and shoulders with a defined waistline,Bold jewellery
Hourglass,optional,kurti,puffy shoulder,v shape,bangles,jhumka,plain,chandbali
Rectangle,broad shoulders,party wear,full length,rounded,stacks,drop earrings,High waisted skirt dress,Golden accessories
Hourglass,optional,party wear,one shouldered,rounded,stacks,studs,Straight body,Bags and clutches
Rectangle,optional,crop top,short length,v shape,bangles,studs,Straight and skinny,"Earrings are studs, bracelet is bangles, and necklace is v shape."
Apple-shaped,broad shoulders,kurti,one shouldered,v shape,stacks,jhumka,Straight dress designs,"Straight accessory designs suitable for the given necklace, bracelet, and earrings"
Hourglass,busted,kurti,full length,choker,bangles,drop earrings,flared,casual
Hourglass,busted,party wear,short length,v shape,bangles,studs,classic,classic
Rectangle,optional,crop top,mid length,rounded,bangles,drop earrings,Fitted and flared,"A combination of chokers, bangles, and pendant earrings"
Inverted triangle,broad shoulders,kurti,short length,rounded,stacks,drop earrings,Feminine,Mix & match
Rectangle,busted,party wear,sleeveless,v shape,stacks,drop earrings,Chic One-shoulder,Rose Gold
Apple-shaped,busted,party wear,sleeveless,rounded,bangles,drop earrings,One shoulder gown,Laurel crown
Pear-shaped,busted,t shirt,full length,choker,charms,drop earrings,Straight cut with a buttoned-up front,Simple with a pendant
Rectangle,busted,kurti,short length,rounded,stacks,studs,Bell Sleeves,Necklace: Rope; Bracelet: Bangles; Earrings: Earrings
Hourglass,optional,kurti,mid length,v shape,stacks,studs,puffed sleeves,All of them
Inverted triangle,busted,party wear,mid length,rounded,stacks,studs,Fitted on the top with a flared skirt,Classical
Pear-shaped,optional,t shirt,short length,rounded,bangles,jhumka,plain top,gold
Apple-shaped,busted,crop top,short length,rounded,stacks,drop earrings,"Suitable for Banana-shaped, sheath dress, short length sleeve","Suitable for Banana-shaped, sheath dress, short length sleeve"
Apple-shaped,busted,kurti,mid length,rounded,bangles,jhumka,"Dress design suitable for apple-shaped body type, kurti dress type, and mid-length sleeve type is a straight-fitting dress with a v-neckline or a round neckline.","Accessory design suitable for rounded necklace, bangles, and jhumka earrings is a pair of jhumka earrings with long dangling drops and a matching bracelet with intricate designs."
Inverted triangle,busted,t shirt,full length,v shape,stacks,studs,bohemian,simple
Apple-shaped,optional,party wear,sleeveless,choker,bangles,drop earrings,Bodycon with ruffles and a plunging neckline,"drop earrings, bangles, choker"
Hourglass,optional,party wear,mid length,v shape,stacks,drop earrings,strappy dress,Elegant
Apple-shaped,busted,kurti,full length,v shape,stacks,drop earrings,Opposite lapel,Funky
Pear-shaped,busted,kurti,full length,v shape,charms,drop earrings,Straight hemline,"Small earrings, silver necklace, and bangle"
Apple-shaped,broad shoulders,kurti,puffy shoulder,rounded,bangles,drop earrings,Kurti with puffy shoulder sleeves is a classic design that flatters the apple-shaped body type.,"The accessory design suitable for the given necklace, bracelet, and earrings would be a pair of chandelier earrings, a pendant necklace, and a bracelet with multiple bangles. The necklace and earrings add to the formality of the outfit, while the bracelet with b"
Hourglass,optional,party wear,short length,rounded,stacks,drop earrings,Flared,Modern boho
Apple-shaped,optional,crop top,short length,v shape,charms,jhumka,A crop top with a V neckline and short sleeves would be a versatile and stylish choice for an apple-shaped body type wearing a crop top with short sleeves.,A v shape necklace and charms bracelet would go well with jhumka earrings.
Hourglass,busted,t shirt,full length,choker,stacks,drop earrings,Cute and a little bit sexy,Glamorous
Hourglass,busted,kurti,mid length,choker,charms,drop earrings,Straight cut,Simple and Resort
Hourglass,busted,t shirt,full length,choker,stacks,studs,Simple with open neckline,simple
Rectangle,optional,kurti,short length,choker,stacks,jhumka,Fully Sleeves Long Kurti,Stacks
Pear-shaped,busted,crop top,one shouldered,choker,bangles,studs,Chunky knit,Casual
Pear-shaped,busted,kurti,short length,v shape,stacks,jhumka,A-line with short sleeves,simple
Hourglass,optional,kurti,mid length,choker,bangles,drop earrings,Body-con fit or empire style,"Chunky necklace, slim bracelet, drop earrings"
Pear-shaped,broad shoulders,t shirt,short length,v shape,bangles,jhumka,Bodycon dress style,"Pear-shaped body type, Necklace: V-shaped, Bracelet: Bangles, Earrings: Jhumka, Accessories: Pearl choker, Pearl bracelet, Pearl earrings"
Rectangle,busted,party wear,short length,choker,charms,drop earrings,Ball gown,Simple
Apple-shaped,broad shoulders,kurti,mid length,v shape,stacks,drop earrings,Half-sleeved,"Metallic, small and simple"
Rectangle,optional,party wear,mid length,choker,stacks,drop earrings,Ballooned sleeves,matching accessories
Pear-shaped,optional,party wear,short length,rounded,bangles,jhumka,"Back cut, long length",golden
Hourglass,broad shoulders,party wear,short length,v shape,stacks,studs,V neckline with long length sleeves,simple chain with a small pendant and stud earrings
Pear-shaped,optional,t shirt,short length,rounded,stacks,drop earrings,This dress looks good with you,"The accessory design should be a combination of delicate and bold elements, like a statement necklace with fine chains and pearls for the necklace, bangles and cuffs for the bracelet, and bold earrings with studs and hoops for the earrings"
Pear-shaped,busted,kurti,short length,choker,bangles,jhumka,Sleeveless,"Necklace: Choker, Bracelet: Bangles, Earrings: Jhumka, Accessory design suitable for the given necklace, bracelet, and earrings: Pearl necklace with bangles and jhumka"
Hourglass,optional,crop top,short length,v shape,stacks,studs,Bell sleeve,Small pendants
Hourglass,broad shoulders,t shirt,mid length,rounded,stacks,studs,Body-con,Classic
Rectangle,optional,t shirt,full length,rounded,stacks,drop earrings,It has a high neckline with the V-shaped neckline and a round neckline.,"It has a thick classic necklace, a simple bracelet, and thin drop earrings."
Pear-shaped,busted,crop top,puffy shoulder,choker,stacks,studs,This is a crop top dress with a puffy shoulder sleeve.,This is a choker necklace with a stacks bracelet and studs earrings.
Apple-shaped,optional,party wear,mid length,choker,bangles,studs,"The dress design suitable for the given body type, dress type, and sleeve type is a strapless dress with a V-neckline.","The accessory design suitable for the given necklace, bracelet, and earrings is a pair of vintage gold hoop earrings, a gold choker necklace, and a gold bangle bracelet."
Hourglass,optional,party wear,one shouldered,v shape,bangles,jhumka,Deep neckline,Simple
Apple-shaped,busted,party wear,puffy shoulder,choker,stacks,drop earrings,"flared, high low, mermaid","Choker necklace, stacked bracelets, drop earrings"
Pear-shaped,broad shoulders,t shirt,mid length,rounded,stacks,jhumka,tailored,Casual
Hourglass,broad shoulders,party wear,short length,choker,bangles,jhumka,"The dress design suitable for the given body type, dress type, and sleeve type is off-shoulder gown with lace detailing on the top and a high neckline.","The accessory design suitable for the given necklace, bracelet, and earrings is a pair of statement earrings, a choker necklace, and a pair of bangles."
Pear-shaped,busted,party wear,short length,v shape,charms,drop earrings,Full length gown with halter neckline,It can be glamorous earrings with danglers and charms.
Apple-shaped,busted,party wear,one shouldered,rounded,bangles,studs,Asymmetrical one shoulder party wear dress design,Simple accessory design
Pear-shaped,optional,kurti,short length,rounded,bangles,drop earrings,Blouse with V neckline and side slit,Dropped earring and bangles
Apple-shaped,broad shoulders,crop top,one shouldered,rounded,charms,studs,Strapless dress with broad shoulders,Layered necklace with stud earrings and charms bracelet
Pear-shaped,busted,t shirt,sleeveless,v shape,charms,drop earrings,Tight,Simplicity
Pear-shaped,optional,party wear,puffy shoulder,rounded,bangles,drop earrings,The dress design should be form-fitting at the top with a v-neckline and flowy at the bottom.,The accessory design should be a statement necklace with a drop earring and a bangle bracelet.
Apple-shaped,busted,kurti,full length,choker,bangles,studs,crop top,basic
Apple-shaped,optional,party wear,mid length,choker,charms,drop earrings,"Dresses with ruffles, pleats, and gathers at the waist to create a flattering silhouette",Soft and delicate jewelry
Pear-shaped,broad shoulders,party wear,short length,choker,bangles,jhumka,Knee length,"Golden choker necklace, bangles on both hands, jhumka earrings"
Hourglass,busted,party wear,full length,rounded,stacks,drop earrings,fitted,simple
Rectangle,optional,party wear,mid length,choker,stacks,drop earrings,Gathered at the knee Floral,Earring: Gold hoops
Apple-shaped,broad shoulders,t shirt,short length,choker,stacks,drop earrings,casual,"necklace, bracelet, and earrings: dainty"
Pear-shaped,optional,kurti,short length,v shape,bangles,drop earrings,kurta style with short sleeve,minimalistic
Hourglass,optional,party wear,short length,rounded,bangles,jhumka,Straight dress with high neckline,Indian Jewellery
Pear-shaped,broad shoulders,t shirt,one shouldered,choker,stacks,drop earrings,Simple,"Bracelets stacked with choker, drop earrings."
Pear-shaped,broad shoulders,party wear,short length,rounded,bangles,drop earrings,Off shoulder dress design,Crown
Rectangle,optional,t shirt,full length,v shape,stacks,studs,fit and flare,understated
Apple-shaped,busted,kurti,short length,rounded,bangles,studs,Pleated Kurti,Classic
Inverted triangle,optional,kurti,mid length,rounded,stacks,jhumka,Comfortable and sleek with a low v-neck,A combination of round and stacks to compliment the v-neck kurti
Apple-shaped,broad shoulders,party wear,sleeveless,rounded,bangles,jhumka,Fitted dress with a v-neckline,Natural jewelry
Rectangle,busted,kurti,one shouldered,rounded,bangles,drop earrings,Wear a draped dress for a rectangle body type.,Wear a multi-coloured and embellished necklace for a more elegant look.
Rectangle,busted,kurti,short length,choker,stacks,drop earrings,plain,classic
Apple-shaped,optional,t shirt,sleeveless,rounded,stacks,jhumka,"round neck, full sleeves, and straight hem",casual
Rectangle,busted,kurti,mid length,choker,stacks,studs,Straight Hem Design,"Combination of Earrings, Necklace, and Bracelet"
Rectangle,optional,kurti,mid length,choker,stacks,studs,Straight with a mid-length sleeve,Single studs with stacked bracelets
Hourglass,optional,party wear,full length,rounded,stacks,studs,A-line cut,Classic
Pear-shaped,optional,party wear,puffy shoulder,choker,stacks,studs,"With a pear-shaped body, you should avoid tight, form-fitting dresses that accentuate the hips and thighs. Instead, opt for dresses that are looser-fitting and have a flattering silhouette. A flared or A-line skirt can help balance out your proportions","Choker necklaces are a versatile choice for any occasion. They can be worn with a variety of outfits, from casual to formal. Pair your choker with a simple top and jeans for a casual look, or dress it up with a dress and heels for a more formal occasion. Brace"
Apple-shaped,busted,party wear,mid length,rounded,charms,drop earrings,"This floral print dress is the perfect choice for an apple-shaped body, neckline, and mid-length sleeve. It features a flowy design with a round neckline and a cinched waist, which creates a slimming effect. The mid-length sleeve adds a touch of elegance and sophistication.","This dress would look lovely with a pair of chunky chain bracelets and a tortoise shell bangle to add some extra flair. For the necklace, you can opt for a long, dangly pearl necklace to complement the dress's flowy design. And for the earrings, you"
Pear-shaped,optional,kurti,full length,choker,stacks,jhumka,"Embrace your curves and show off your curves in a sleek and stylish kurti with a full-length sleeve. Paired with a choker necklace, stacks of bracelets, and jhumka earrings, this look will make you feel confident and comfortable.","Add a pop of color to your look with a bright, colorful scarf or a vibrant beaded necklace."
Pear-shaped,busted,t shirt,full length,rounded,bangles,drop earrings,"Knee-length, A-line, straight, long, and medium sleeves",Simple
Pear-shaped,optional,t shirt,short length,v shape,bangles,studs,"The dress design for pear-shaped body type, t shirt dress, and short length sleeve type is a high-low hemline.","The accessory design for v shape necklace, bangles, and studs is a layered necklace, stacked bangles, and studs."
Hourglass,optional,party wear,mid length,choker,bangles,drop earrings,"It can be a high-low hemline, off-shoulder style, or a halter neckline","A low hanging necklace with a small pendant, a bracelet with beads, and earrings with small dangling stones"
Apple-shaped,optional,t shirt,short length,rounded,stacks,jhumka,"Straight cut, single color",Timeless
Hourglass,busted,kurti,short length,rounded,bangles,studs,"The dress design suitable for this body type, dress type, and sleeve type is a halter neck dress with a short sleeve. This dress style would highlight the hourglass figure and accentuate the bust area.","The accessory design suitable for the given necklace, bracelet, and earrings would be a statement earring, a bracelet with bangles, and a necklace with a pendant."
Hourglass,optional,t shirt,mid length,choker,stacks,jhumka,Flared t shirt dress,"Pearl and gold necklace, bracelet, and earrings"
Inverted triangle,optional,crop top,sleeveless,choker,stacks,drop earrings,Tie-dye crop top with shoulder cutout,Industrial
Apple-shaped,busted,t shirt,short length,choker,stacks,drop earrings,Loose,Modern
Hourglass,optional,kurti,short length,rounded,stacks,drop earrings,Straight,Blue and gold bracelet with a silver pendant
Apple-shaped,busted,party wear,short length,rounded,bangles,studs,Three quarter sleeve,bold and sleek
Apple-shaped,optional,t shirt,short length,rounded,bangles,drop earrings,"The dress design suitable for the given body type, dress type, and sleeve type is a simple, sleeveless t-shirt with a round neckline and a straight hemline. It is best to pair it with a short-length, long-length, or short-length sleeve.",gold and diamond
Pear-shaped,optional,t shirt,sleeveless,choker,stacks,jhumka,half-sleeved with frills,"choker, stacks, jhumka"
Apple-shaped,busted,party wear,puffy shoulder,choker,charms,jhumka,Ruffled sleeves,Bright colours
Apple-shaped,optional,t shirt,full length,rounded,bangles,studs,front full length,"gold, chain, and studs"
Hourglass,broad shoulders,t shirt,short length,v shape,bangles,drop earrings,Cold shoulder with a v neck,simple
Hourglass,busted,party wear,full length,choker,bangles,jhumka,"Body-hugging, Low neckline, Double tucks, Puffed sleeves, Wraparound design",Dressy and flashy
Pear-shaped,busted,party wear,short length,rounded,bangles,drop earrings,Fitted,"Golden necklace, golden bracelet, and golden earring"
Pear-shaped,optional,party wear,full length,v shape,charms,drop earrings,"The dress design that would be suitable for a pear-shaped body type, party wear dress type, and full length sleeve type would be a fitted bodycon dress with a deep v-neckline and a high slit.","The accessory design that would be suitable for v shape necklace, charms bracelet, and drop earrings would be statement earrings, stackable bracelets, and a statement necklace."
Rectangle,busted,crop top,short length,rounded,bangles,drop earrings,Off-shoulder,long
Apple-shaped,optional,t shirt,short length,v shape,stacks,jhumka,Fitted,Simple
Pear-shaped,broad shoulders,party wear,full length,rounded,stacks,studs,"Pear-shaped, party wear, full length",Festive
Hourglass,broad shoulders,kurti,sleeveless,choker,bangles,drop earrings,Overall a perfect fit,"statement necklace, statement bracelet, statement earrings"
Apple-shaped,busted,crop top,mid length,choker,charms,studs,"This dress design is suitable for an apple-shaped body type with a crop top dress type and mid length sleeve type. It features a choker necklace, charm bracelet, and stud earrings.","This accessory design features a choker necklace, charm bracelet, and stud earrings."
Rectangle,busted,kurti,full length,choker,bangles,studs,Straight dress design,"Top knots, bows, and tassels"
Pear-shaped,optional,party wear,full length,rounded,bangles,drop earrings,off-the-shoulder with a high-low hem,Modern and elegant
Pear-shaped,busted,kurti,full length,v shape,bangles,studs,Elegant and sophisticated dress design with a flattering neckline,A simple and elegant accessory design with a v-shaped pendant and delicate bangles
Rectangle,busted,crop top,mid length,rounded,charms,drop earrings,Crop top with a little bit of high waist,Rounded necklace with charms bracelet and drop earrings
Apple-shaped,busted,crop top,full length,rounded,charms,studs,Trapeze dress design,Floral
Hourglass,optional,party wear,sleeveless,rounded,stacks,studs,Fitted at the bottom and loose at the top,simple
Hourglass,optional,party wear,sleeveless,v shape,bangles,drop earrings,"This design suits the given body type, dress type, and sleeve type.","This accessory design is suitable for the given necklace, bracelet, and earrings."
Hourglass,optional,party wear,full length,v shape,stacks,jhumka,bodycon dress with high neck,pearl earrings
Rectangle,optional,t shirt,short length,rounded,charms,jhumka,halter neck,"cuffs, chains"
Inverted triangle,broad shoulders,t shirt,one shouldered,choker,charms,drop earrings,Elegant and classy,Classic touch
Pear-shaped,optional,t shirt,short length,choker,stacks,drop earrings,Fitted t shirt dress with a bandeau neckline,Rhinestone jewelry
Apple-shaped,busted,party wear,puffy shoulder,v shape,bangles,jhumka,Fitted on the waist and loose on the top,Suitable for a party wear outfit.
Pear-shaped,optional,party wear,short length,choker,bangles,jhumka,Flared dress with short sleeves,"Matching necklace, bracelet and earrings"
Hourglass,busted,party wear,full length,rounded,bangles,studs,Pleated,simple
Inverted triangle,busted,t shirt,short length,rounded,stacks,drop earrings,The dress design is square neck with 3/4 sleeve,"The accessory design is multi-strand necklace, bangles, and stud earrings"
Apple-shaped,busted,t shirt,short length,rounded,stacks,studs,t shirt dress,"studs, stacks, studs"
Apple-shaped,busted,party wear,mid length,choker,charms,studs,T-shirt with mid-length sleeves,casual
Pear-shaped,optional,party wear,sleeveless,v shape,charms,studs,off-shoulder dress,classic
Pear-shaped,optional,party wear,full length,v shape,bangles,drop earrings,Deep Neck,Long Dangle Earrings
Inverted triangle,busted,kurti,short length,rounded,stacks,studs,"Suitable dress design for your body type, dress type and sleeve type is embellished","Suitable accessory design for your necklace, bracelet, and earrings is small."
Rectangle,optional,t shirt,short length,rounded,bangles,jhumka,Straight fit short sleeve round neck top,Beautiful necklace along with jhumka earrings with bangles
Apple-shaped,busted,party wear,puffy shoulder,choker,stacks,jhumka,Drape,modern
Inverted triangle,busted,party wear,puffy shoulder,v shape,stacks,studs,Stand out with a body-hugging party dress with a v-neck and puffy shoulders!,Simple and elegant
Apple-shaped,optional,t shirt,short length,rounded,bangles,studs,Regular Fit,Rounded necklace with bangles and studs
Hourglass,optional,t shirt,mid length,choker,stacks,studs,The dress is sleeveless and has a deep V neckline. It is made of white fabric and has a fitted bodice that highlights the hourglass figure. The skirt is full and has a flared hemline that falls just above the knee. It is made of white fabric and has a full skirt with a,"The necklace is a choker, the bracelet is stacked, and the earrings are studs. A simple and elegant necklace, such as a pearl choker, would complement the outfit. The stacked bracelets would look great with a bangle or cuff bracelet. Lastly,"
Hourglass,busted,party wear,puffy shoulder,v shape,stacks,jhumka,"Suitable dress design for the given body type, dress type, and sleeve type would be a fitted body-hugging dress with a v-neckline, puffy shoulder sleeves, and a high-low hemline. The dress should have a flowing skirt that is slightly flared at the bottom","Suitable accessory design for the given necklace, bracelet, and earrings would be a pair of drop earrings with v shaped design, stacked bracelet with floral design, and a choker necklace with pearl detailing"
